player.id,season_id,season,games,minutes
24616,90,2020_2021,2,196.14835
24681,90,2020_2021,1,62.6156
24712,90,2020_2021,1,60.27238333
24730,90,2020_2021,2,195.33365
24777,90,2020_2021,1,9.408733333
24841,90,2020_2021,11,291.3879833
24921,90,2020_2021,2,168.7253667
25005,90,2020_2021,1,58.25918333
25104,90,2020_2021,1,13.71133333
25134,90,2020_2021,2,69.2718
25598,90,2020_2021,2,188.8337167
25702,90,2020_2021,1,46.0714
25704,90,2020_2021,1,94.65401667
26009,90,2020_2021,2,106.6518333
26387,90,2020_2021,2,151.67655
26404,90,2020_2021,2,117.6403
28658,90,2020_2021,1,24.89475
29198,90,2020_2021,2,196.14835
29310,90,2020_2021,1,94.93108333
30081,90,2020_2021,1,94.65401667
30277,90,2020_2021,2,189.3031833
30370,90,2020_2021,2,102.4400667
30419,90,2020_2021,1,92.93498333
30483,90,2020_2021,2,105.6748833
30486,90,2020_2021,35,2347.072117
30492,90,2020_2021,1,14.29361667
30593,90,2020_2021,2,129.7966833
30756,90,2020_2021,7,452.5581
30760,90,2020_2021,1,10.5269
31090,90,2020_2021,2,114.0299667
31235,90,2020_2021,2,63.70918333
31779,90,2020_2021,1,38.29328333
31914,90,2020_2021,1,14.70583333
31931,90,2020_2021,1,15.62683333
32185,90,2020_2021,2,191.4548167
32480,90,2020_2021,21,1331.474133
32673,90,2020_2021,2,176.0571333
32953,90,2020_2021,1,10.94456667
33339,90,2020_2021,1,93.93393333
34323,90,2020_2021,1,12.77291667
35000,90,2020_2021,1,31.68263333
35287,90,2020_2021,1,94.12951667
35473,90,2020_2021,2,161.1521833
35641,90,2020_2021,1,78.40193333
38792,90,2020_2021,1,42.0985
39073,90,2020_2021,13,530.46095
39598,90,2020_2021,2,65.8576
40881,90,2020_2021,1,37.83655
40890,90,2020_2021,2,192.8339333
41083,90,2020_2021,2,38.83825
41107,90,2020_2021,1,48.057
41202,90,2020_2021,1,5.3487
42282,90,2020_2021,1,78.36995
43728,90,2020_2021,24,1778.864883
47226,90,2020_2021,1,13.92746667
47375,90,2020_2021,1,39.08471667
47447,90,2020_2021,1,63.27723333
50494,90,2020_2021,1,6.700416667
71519,90,2020_2021,1,94.12951667
75546,90,2020_2021,1,93.5108
79498,90,2020_2021,1,48.057
105762,90,2020_2021,1,17.20338333
117025,90,2020_2021,1,1.055883333
2948,42,2019_2020,1,78.6932
3042,42,2019_2020,2,191.1548
3058,42,2019_2020,1,28.59345
3122,42,2019_2020,1,11.15063333
3139,42,2019_2020,1,99.39271667
3141,42,2019_2020,2,191.5032167
3163,42,2019_2020,1,2.095883333
3236,42,2019_2020,2,126.2365833
3245,42,2019_2020,2,30.71108333
3246,42,2019_2020,2,37.32968333
